N_unmapped	35595	35595	35595
N_multimapping	77883	77883	77883
N_noFeature	25288	3679303	34956
N_ambiguous	189432	6229	6022
gene:AT1G30814	0	0	0
gene:AT1G78930	16	0	16
gene:AT1G71695	686	3	683
gene:AT1G58983	0	0	0
gene:AT1G12980	0	0	0
gene:AT1G45223	0	0	0
gene:AT1G56250	0	0	0
gene:AT1G66852	0	0	0
gene:AT1G69810	0	0	0
gene:AT1G72450	329	0	329
gene:AT1G76280	31	0	31
gene:AT1G65630	1	0	1
gene:AT1G71390	0	0	0
gene:AT1G56233	0	0	0
gene:AT1G15210	0	0	0
gene:AT1G15250	37	3	40
gene:AT1G79700	189	4	207
gene:AT1G62895	0	0	0
gene:AT1G73360	10	0	10
gene:AT1G16360	2	1	1
gene:AT1G10225	0	0	0
gene:AT1G26670	333	0	333
gene:AT1G34855	0	0	0
gene:AT1G52200	149	0	149
gene:AT1G57800	0	0	0
gene:AT1G69460	173	0	173
gene:AT1G04310	40	0	40
gene:AT1G08080	0	0	0
gene:AT1G75550	11	0	11
gene:AT1G71890	3	0	3
gene:AT1G05430	81	0	81
gene:AT1G80870	75	0	75
gene:AT1G75310	122	1	124
gene:AT1G02010	36	0	36
gene:AT1G47900	82	0	82
gene:AT1G14315	0	4	0
gene:AT1G26760	3	1	3
gene:AT1G05250	0	0	0
gene:AT1G67260	1	0	1
gene:AT1G24575	8	0	9
gene:AT1G12790	2	0	2
gene:AT1G04850	280	1	279
gene:AT1G31760	8	0	8
gene:AT1G33250	166	2	164
gene:AT1G74000	8	0	8
gene:AT1G55580	0	2	0
gene:AT1G53903	0	0	0
gene:AT1G19715	251	4	263
gene:AT1G69430	3	0	3
gene:AT1G53340	1	0	1
gene:AT1G29890	86	0	86
gene:AT1G80290	29	0	29
gene:AT1G56540	11	0	11
gene:AT1G48650	180	0	180
gene:AT1G22670	0	0	0
gene:AT1G07030	62	0	62
gene:AT1G69860	0	0	0
gene:AT1G10120	54	0	57
gene:AT1G43650	7	0	7
gene:AT1G09960	28	0	28
gene:AT1G51990	0	0	0
gene:AT1G53625	0	0	0
gene:AT1G63360	92	0	92
gene:AT1G33330	66	0	66
gene:AT1G74929	0	0	3
gene:AT1G63430	147	0	147
gene:AT1G80720	25	0	25
gene:AT1G69770	70	0	70
gene:AT1G08460	146	0	146
gene:AT1G78710	0	0	0
gene:AT1G08610	16	1	17
gene:AT1G17540	0	0	0
gene:AT1G27380	3	0	3
gene:AT1G58643	0	0	0
gene:AT1G48953	0	0	0
gene:AT1G51440	9	0	9
gene:AT1G18871	0	0	0
gene:AT1G25210	0	0	0
gene:AT1G21610	178	0	178
gene:AT1G79710	22	7	23
gene:AT1G80840	17	3	17
gene:AT1G71300	0	0	0
gene:AT1G49490	46	39	7
gene:AT1G23645	0	0	0
gene:AT1G09795	322	0	364
gene:AT1G48690	0	0	0
gene:AT1G49570	0	0	0
gene:AT1G68470	6	0	6
gene:AT1G75580	7	0	7
gene:AT1G26400	0	0	0
gene:AT1G72980	2	0	2
gene:AT1G59970	37	2	35
gene:AT1G11520	0	0	0
gene:AT1G30640	50	0	50
gene:AT1G26440	158	0	158
gene:AT1G51320	0	0	0
gene:AT1G22070	172	0	172
gene:AT1G26700	0	0	0
gene:AT1G73603	0	0	0
gene:AT1G55650	0	0	0
gene:AT1G78180	54	0	54
gene:AT1G55928	0	0	0
gene:AT1G29880	425	0	425
gene:AT1G53645	72	0	72
gene:AT1G06240	34	0	34
gene:AT1G72330	101	0	101
gene:AT1G20840	315	0	317
gene:AT1G45050	47	0	47
gene:AT1G52500	45	105	42
gene:AT1G10430	75	0	75
gene:AT1G05670	26	0	26
gene:AT1G64110	1	0	1
gene:AT1G65220	157	0	157
gene:AT1G13635	2	0	2
gene:AT1G54950	0	0	0
gene:AT1G55730	31	0	31
gene:AT1G07310	269	0	269
gene:AT1G77230	14	0	69
gene:AT1G52400	629	0	629
gene:AT1G16430	12	0	12
gene:AT1G27752	115	1	114
gene:AT1G14880	85	0	85
gene:AT1G11190	9	0	9
gene:AT1G43100	0	0	0
gene:AT1G26650	68	0	68
gene:AT1G54420	0	0	0
gene:AT1G34640	25	1	26
gene:AT1G50310	0	9	0
gene:AT1G49430	123	0	123
gene:AT1G74240	17	0	17
gene:AT1G01760	23	0	27
gene:AT1G61160	0	0	1
gene:AT1G47480	8	0	8
gene:AT1G65820	222	0	222
gene:AT1G22900	12	0	12
gene:AT1G76820	11	0	11
gene:AT1G52080	7	0	7
gene:AT1G35180	14	0	14
gene:AT1G30070	10	0	10
gene:AT1G35210	0	0	0
gene:AT1G10410	61	0	61
gene:AT1G73740	69	1	68
gene:AT1G53350	65	1	64
gene:AT1G34110	69	53	16
gene:AT1G17240	1	1	0
gene:AT1G61730	52	0	52
gene:AT1G29260	81	0	81
gene:AT1G33890	0	0	0
gene:AT1G08040	99	0	99
gene:AT1G63522	0	0	0
gene:AT1G08810	23	0	23
gene:AT1G09210	259	0	259
gene:AT1G70080	0	0	0
gene:AT1G10522	83	1	87
gene:AT1G04570	1	0	1
gene:AT1G01830	42	6	36
gene:AT1G12340	0	0	0
gene:AT1G67590	20	0	20
gene:AT1G69080	8	0	8
gene:AT1G31400	0	0	0
gene:AT1G74385	0	37	0
gene:AT1G73300	0	0	0
gene:AT1G05760	0	2	11
gene:AT1G30530	48	1	47
gene:AT1G12480	14	4	41
gene:AT1G76850	308	7	331
gene:AT1G73570	21	0	21
gene:AT1G44130	2	0	2
gene:AT1G67340	98	0	98
gene:AT1G80315	0	0	0
gene:AT1G43666	0	0	0
gene:AT1G08630	7	0	7
gene:AT1G66150	524	0	524
gene:AT1G04640	104	0	104
gene:AT1G56500	616	0	616
gene:AT1G12615	0	0	0
gene:AT1G77120	20	5	19
gene:AT1G50590	3	0	3
gene:AT1G17147	6	0	6
gene:AT1G44740	3	0	3
gene:AT1G08005	0	0	0
gene:AT1G24380	0	0	0
gene:AT1G60787	0	0	0
gene:AT1G26796	0	0	0
gene:AT1G68500	10	0	10
gene:AT1G15500	1054	0	1054
gene:AT1G77760	86	0	86
gene:AT1G24062	0	0	0
gene:AT1G53510	184	0	184
gene:AT1G51410	0	0	0
gene:AT1G50020	104	1	213
gene:AT1G22370	240	17	223
gene:AT1G53265	0	0	0
gene:AT1G17270	26	0	26
gene:AT1G74350	6	0	6
gene:AT1G75230	39	0	39
gene:AT1G29150	411	0	411
gene:AT1G17140	76	0	88
gene:AT1G08380	13221	1	13220
gene:AT1G43560	256	0	256
gene:AT1G07700	98	0	98
gene:AT1G33750	0	0	0
gene:AT1G61270	0	0	0
gene:AT1G14750	1	0	1
gene:AT1G05900	49	0	49
gene:AT1G44120	1	51	1
gene:AT1G52990	2	0	2
gene:AT1G37130	569	0	569
gene:AT1G48175	56	0	56
gene:AT1G72140	4	0	4
gene:AT1G66465	5	3	6
gene:AT1G43260	0	0	0
gene:AT1G14420	0	0	0
gene:AT1G01710	173	0	173
gene:AT1G44000	157	0	157
gene:AT1G73960	195	0	195
gene:AT1G11360	120	0	120
gene:AT1G04490	3	0	3
gene:AT1G78476	0	6	0
gene:AT1G15310	13	0	13
gene:AT1G13300	0	0	0
gene:AT1G55530	80	1	79
gene:AT1G47350	0	0	0
gene:AT1G74458	4	0	4
gene:AT1G32120	24	19	5
gene:AT1G17260	3	0	3
gene:AT1G32660	0	0	0
gene:AT1G31480	81	0	90
gene:AT1G17500	179	0	179
gene:AT1G50780	0	0	0
gene:AT1G21150	11	0	11
gene:AT1G78110	64	0	64
gene:AT1G80080	39	0	39
gene:AT1G23260	117	0	117
gene:AT1G09790	0	0	0
gene:AT1G60270	18	0	18
gene:AT1G25400	32	0	32
gene:AT1G77980	0	0	0
gene:AT1G43140	0	0	0
